"max_inflation_rate","falloff_rate","ideal_stake_rate","actual_stake_rate","min_inflation_rate","n","current_issuance"
8,5,50,10,8,1,1444687868644067584
8,5,50,11,8,2,1444687868644067584
8,5,50,12,8,3,1444687868644067584
8,5,50,13,8,4,1444687868644067584
8,5,50,14,8,5,1444687868644067584
8,5,50,15,8,6,1444687868644067584
8,5,50,16,8,7,1444687868644067584
8,5,50,17,8,8,1444687868644067584
8,5,50,18,8,9,1444687868644067584
8,5,50,19,8,10,1444687868644067584
8,5,50,20,8,11,1444687868644067584
8,5,50,21,8,12,1444687868644067584
8,5,50,22,8,13,1444687868644067584
8,5,50,23,8,14,1444687868644067584
8,5,50,24,8,15,1444687868644067584
8,5,50,25,8,16,1444687868644067584
8,5,50,26,8,17,1444687868644067584
8,5,50,27,8,18,1444687868644067584
8,5,50,28,8,19,1444687868644067584
8,5,50,29,8,20,1444687868644067584
8,5,50,30,8,21,1444687868644067584
8,5,50,31,8,22,1444687868644067584
8,5,50,32,8,23,1444687868644067584
8,5,50,33,8,24,1444687868644067584
8,5,50,34,8,25,1444687868644067584
8,5,50,35,8,26,1444687868644067584
8,5,50,36,8,27,1444687868644067584
8,5,50,37,8,28,1444687868644067584
8,5,50,38,8,29,1444687868644067584
8,5,50,39,8,30,1444687868644067584
8,5,50,40,8,31,1444687868644067584
8,5,50,41,8,32,1444687868644067584
8,5,50,42,8,33,1444687868644067584
8,5,50,43,8,34,1444687868644067584
8,5,50,44,8,35,1444687868644067584
8,5,50,45,8,36,1444687868644067584
8,5,50,46,8,37,1444687868644067584
8,5,50,47,8,38,1444687868644067584
8,5,50,48,8,39,1444687868644067584
8,5,50,49,8,40,1444687868644067584
8,5,50,50,8,41,1444687868644067584
8,5,50,51,8,42,1444687868644067584
8,5,50,52,8,43,1444687868644067584
8,5,50,53,8,44,1444687868644067584
8,5,50,54,8,45,1444687868644067584
8,5,50,55,8,46,1444687868644067584
8,5,50,56,8,47,1444687868644067584
8,5,50,57,8,48,1444687868644067584
8,5,50,58,8,49,1444687868644067584
8,5,50,59,8,50,1444687868644067584
8,5,50,60,8,51,1444687868644067584
8,5,50,61,8,52,1444687868644067584
8,5,50,62,8,53,1444687868644067584
8,5,50,63,8,54,1444687868644067584
8,5,50,64,8,55,1444687868644067584
8,5,50,65,8,56,1444687868644067584
8,5,50,66,8,57,1444687868644067584
8,5,50,67,8,58,1444687868644067584
8,5,50,68,8,59,1444687868644067584
8,5,50,69,8,60,1444687868644067584
8,5,50,70,8,61,1444687868644067584
8,5,50,71,8,62,1444687868644067584
8,5,50,72,8,63,1444687868644067584
8,5,50,73,8,64,1444687868644067584
8,5,50,74,8,65,1444687868644067584
8,5,50,75,8,66,1444687868644067584
8,5,50,76,8,67,1444687868644067584
8,5,50,77,8,68,1444687868644067584
8,5,50,78,8,69,1444687868644067584
8,5,50,79,8,70,1444687868644067584
8,5,50,80,8,71,1444687868644067584
8,5,50,81,8,72,1444687868644067584
8,5,50,82,8,73,1444687868644067584
8,5,50,83,8,74,1444687868644067584
8,5,50,84,8,75,1444687868644067584
8,5,50,85,8,76,1444687868644067584
8,5,50,86,8,77,1444687868644067584
8,5,50,87,8,78,1444687868644067584
8,5,50,88,8,79,1444687868644067584
8,5,50,89,8,80,1444687868644067584
8,5,50,90,8,81,1444687868644067584
8,5,50,91,8,82,1444687868644067584
8,5,50,92,8,83,1444687868644067584
8,5,50,93,8,84,1444687868644067584
8,5,50,94,8,85,1444687868644067584
8,5,50,95,8,86,1444687868644067584
8,5,50,96,8,87,1444687868644067584
8,5,50,97,8,88,1444687868644067584
8,5,50,98,8,89,1444687868644067584
8,5,50,99,8,90,1444687868644067584
8,5,50,100,8,91,1444687868644067584
